SNP	PVAL	Disease	COMP	CisGene	TissScores	CompGenes_CompScores	FDR
3:134203347	4e-06	Waist circumference adjusted for body mass index	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	1e-09	Waist circumference adjusted for body mass index	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	2e-06	Waist circumference adjusted for BMI in active individuals	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	4e-10	Waist circumference adjusted for BMI in active individuals	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	5e-06	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	2e-09	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	6e-07	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	2e-08	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	1e-12	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	7e-13	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	4e-07	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	8e-07	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	9e-07	Waist circumference adjusted for BMI in non-smokers	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	2e-12	Waist circumference adjusted for BMI in non-smokers	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134203347	2e-07	Waist circumference adjusted for BMI in non-smokers	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
3:134233092	7e-08	Height	228	ANAPC13_ANAPC13	-0.00749033_-0.00617902	ACAP1_1.95599\ACOX2_2.20112\AIM1_2.83088\ANAPC13_4.26508\APP_-1.95839\AS3MT_-2.44885\ATP6V1C1_1.9497\CALM3_-2.18859\CARD8_2.4734\CC2D1B_-1.98022\CEP63_3.00393\COG6_-1.87687\CSNK2A2_2.35402\DCP1B_-1.91271\ENPP4_-2.28201\FNDC5_1.99558\GATC_1.94419\LYAR_-2.14858\MGRN1_-2.04171\MGST2_2.66147\MRPL52_-2.05413\MYBPC3_2.12636\NEURL4_-2.03952\NUDT18_2.23019\OAF_-2.54576\OSBPL2_-1.92509\POLR2C_2.20545\PPP3CC_2.23504\RBM17_-1.88122\SEPT2_-2.32\SH3BP5_-2.27707\SLC44A1_-1.96996\STK31_-1.99077\TCF3_-2.24476\UTP18_2.06514\WDR19_3.22389\WDR24_2.27364\ZMYND8_-2.08679\ZNF467_2.05738\ZNF658_2.30129	0.0221854520533714
